Date,Time,Height,Value
20190505,12,76696048,8.754
20190505,13,76696048,14.006
20190505,14,76696048,25.750
20190505,15,76696048,35.548
20190505,16,76696048,45.337
20190505,17,76696048,50.494
20190505,18,76696048,55.146
20190505,19,76696048,53.873
20190505,20,76696048,49.308
20190505,21,76696048,46.121
20190505,22,76696048,43.949
20190505,23,76696048,39.639
20190506,0,76696048,29.645
20190506,1,76696048,15.410
20190506,2,76696048,9.639
20190506,3,76696048,11.856
20190506,4,76696048,7.572
20190506,5,76696048,12.244
20190506,6,76696048,17.168
20190506,7,76696048,16.135
20190506,8,76696048,16.322
20190506,9,76696048,14.978
20190506,10,76696048,12.357
20190506,11,76696048,12.003
